recipe_id,recipe_name,meal_type,cuisine_style,ingredients,steps,dietary_tags,missing_allowed,notes
R022,Prawn avocado salad,lunch,Australian cafe,"prawn;avocado;lettuce;cucumber;lemon","Cook prawn;Slice vegetables and avocado;Serve with lemon","high-protein;low-calorie",false,"Fresh lunch salad"
R023,Chicken pasta salad,lunch,Australian everyday,"chicken_breast;pasta;cucumber;tomato;olive_oil","Cook pasta;Cook chicken;Add vegetables and olive oil","high-protein",false,"Cold pasta salad"
R024,Egg salad sandwich,lunch,Australian everyday,"egg;bread;lettuce;butter","Cook egg;Butter bread;Add lettuce;Assemble sandwich","vegetarian",false,"Simple sandwich"
R025,Cheese tomato toastie,lunch,Australian cafe,"cheese;tomato;bread;butter","Butter bread;Add cheese and tomato;Toast until melted","vegetarian",false,"Common toastie"
R026,Chicken lettuce sandwich,lunch,Australian everyday,"chicken_breast;bread;lettuce;tomato;butter","Cook chicken;Butter bread;Add lettuce and tomato;Assemble","high-protein",false,"Packed lunch"
R027,Beef tortilla wrap,lunch,Australian everyday,"beef_mince;tortilla;lettuce;tomato;cheese","Cook beef mince;Warm tortilla;Add lettuce tomato and cheese;Wrap","high-protein",false,"Takeaway-style wrap"
R028,Avocado cucumber sandwich,lunch,Australian cafe,"avocado;cucumber;bread;cheese","Assemble avocado cucumber and cheese in bread","vegetarian",false,"Light cafe sandwich"
R029,Sausage salad wrap,lunch,Australian everyday,"sausage;tortilla;lettuce;tomato;onion","Cook sausage;Warm tortilla;Add vegetables;Wrap","high-protein",false,"Barbecue-style wrap"
R030,Prawn rice salad,lunch,Australian cafe,"prawn;rice;cucumber;carrot;lettuce","Cook rice;Cook prawn;Add sliced vegetables","high-protein;low-calorie",false,"Fresh lunch bowl"
R031,Tomato pasta,dinner,Italian-inspired,"pasta;tomato;garlic;olive_oil","Cook pasta;Cook tomato with garlic and olive oil;Combine","vegetarian",false,"Simple Italian-style pasta"
R032,Beef pasta bake,dinner,Italian-inspired,"beef_mince;pasta;pasta_sauce;cheese;onion","Cook pasta;Cook beef mince with onion and pasta sauce;Top with cheese","high-protein",false,"Australian family dinner"
R033,Prawn tomato pasta,dinner,Italian-inspired,"prawn;pasta;canned_tomatoes;garlic;olive_oil","Cook pasta;Cook prawn with canned tomatoes garlic and olive oil;Combine","high-protein",false,"Seafood pasta"
R034,Chicken mushroom pasta,dinner,Italian-inspired,"chicken_breast;mushroom;pasta;garlic;olive_oil","Cook pasta;Cook chicken and mushroom with garlic and olive oil;Combine","high-protein",false,"Weeknight pasta"
R035,Tofu tomato pasta,dinner,Italian-inspired,"tofu;pasta;pasta_sauce;spinach","Cook pasta;Cook tofu with pasta sauce and spinach;Combine","vegetarian",false,"Plant-based pasta"
R036,Broccoli cheese pasta,dinner,Italian-inspired,"broccoli;cheese;pasta;milk;butter","Cook pasta and broccoli;Make cheese sauce with milk butter and cheese;Combine","vegetarian",false,"Comfort dinner"
R037,Chicken avocado pasta,dinner,Italian-inspired,"chicken_breast;avocado;pasta;lemon;olive_oil","Cook pasta;Cook chicken;Add avocado lemon and olive oil","high-protein",false,"Fresh pasta"
R038,Pumpkin spinach pasta,dinner,Italian-inspired,"pumpkin;spinach;pasta;cheese","Cook pasta;Cook pumpkin and spinach;Add cheese;Combine","vegetarian",false,"Vegetarian dinner"
R039,Salmon zucchini pasta,dinner,Italian-inspired,"salmon;zucchini;pasta;lemon;olive_oil","Cook pasta;Cook salmon and zucchini;Add lemon and olive oil","high-protein",false,"Fresh pasta dinner"
R040,Sausage tomato pasta,dinner,Italian-inspired,"sausage;pasta;pasta_sauce;onion;cheese","Cook pasta;Cook sausage with onion and pasta sauce;Top with cheese","high-protein",false,"Simple pasta dinner"
R041,Vegetable pasta bake,dinner,Italian-inspired,"pasta;pasta_sauce;zucchini;mushroom;cheese","Cook pasta;Mix with pasta sauce zucchini and mushroom;Top with cheese","vegetarian",false,"Family pasta bake"
R042,Salmon tomato pasta,dinner,Italian-inspired,"salmon;pasta;canned_tomatoes;spinach;garlic","Cook pasta;Cook salmon with canned tomatoes spinach and garlic;Combine","high-protein",false,"Seafood pasta"
R043,Chicken broccoli noodles,dinner,Asian-inspired,"chicken_breast;broccoli;noodles;soy_sauce","Cook noodles;Cook chicken and broccoli;Add soy sauce","high-protein",false,"Asian-style quick meal"
R044,Tofu peanut noodles,dinner,Asian-inspired,"tofu;noodles;peanut_butter;soy_sauce;capsicum","Cook noodles;Cook tofu and capsicum;Mix peanut butter and soy sauce;Combine","vegetarian",false,"Noodle bowl"
R045,Prawn noodles,dinner,Asian-inspired,"prawn;noodles;capsicum;garlic;soy_sauce","Cook noodles;Cook prawn with capsicum and garlic;Add soy sauce","high-protein",false,"Quick dinner"
R046,Chicken corn noodles,dinner,Asian-inspired,"chicken_thigh;corn;noodles;soy_sauce;garlic","Cook noodles;Cook chicken thigh with corn and garlic;Add soy sauce","high-protein",false,"Quick noodle dinner"
R047,Egg fried rice,dinner,Asian-inspired,"egg;rice;carrot;corn;soy_sauce","Cook rice;Stir-fry egg carrot and corn;Add soy sauce","vegetarian",false,"Common home meal"
R048,Beef tomato rice,dinner,Asian-inspired,"beef_mince;tomato;rice;onion;garlic","Cook rice;Cook beef mince with tomato onion and garlic;Serve together","high-protein",false,"Rice dinner"
R049,Pork broccoli rice,dinner,Asian-inspired,"pork;broccoli;rice;soy_sauce;garlic","Cook rice;Cook pork and broccoli with soy sauce and garlic","high-protein",false,"Stir-fry dinner"
R050,Tofu canned tomato rice,dinner,Asian-inspired,"tofu;canned_tomatoes;rice;spinach;garlic","Cook rice;Cook tofu with canned tomatoes spinach and garlic","vegetarian",false,"Simple rice meal"
R051,Prawn tofu rice,dinner,Asian-inspired,"prawn;tofu;rice;garlic;soy_sauce","Cook rice;Cook prawn and tofu with garlic and soy sauce","high-protein",false,"Protein rice bowl"
R052,Tofu capsicum noodles,dinner,Asian-inspired,"tofu;capsicum;noodles;garlic;soy_sauce","Cook noodles;Stir-fry tofu and capsicum with garlic and soy sauce","vegetarian",false,"Vegetarian noodles"
R053,Egg tomato rice,dinner,Asian-inspired,"egg;tomato;rice;garlic","Cook rice;Cook egg with tomato and garlic;Serve together","vegetarian",false,"Simple home-style rice"
R054,Chicken soy rice,dinner,Asian-inspired,"chicken_thigh;rice;soy_sauce;garlic;broccoli","Cook rice;Cook chicken thigh with soy sauce and garlic;Serve with broccoli","high-protein",false,"Soy chicken rice"
R055,Chicken coconut pumpkin curry,dinner,Thai-inspired,"chicken_thigh;coconut_milk;pumpkin;rice;onion","Cook rice;Cook chicken thigh pumpkin onion and coconut milk;Serve together","high-protein",false,"Mild coconut curry"
R056,Tofu coconut curry rice,dinner,Thai-inspired,"tofu;coconut_milk;rice;pumpkin;spinach","Cook rice;Cook tofu pumpkin and spinach with coconut milk;Serve together","vegetarian",false,"Plant-based curry"
R057,Prawn coconut rice,dinner,Thai-inspired,"prawn;coconut_milk;rice;capsicum;garlic","Cook rice;Cook prawn with coconut milk capsicum and garlic","high-protein",false,"Seafood coconut rice"
R058,Chicken coconut rice,dinner,Thai-inspired,"chicken_thigh;coconut_milk;rice;capsicum;onion","Cook rice;Cook chicken thigh with coconut milk capsicum and onion","high-protein",false,"Mild curry-style dinner"
R059,Coconut pumpkin soup,dinner,Thai-inspired,"coconut_milk;pumpkin;onion;garlic","Cook pumpkin onion and garlic;Add coconut milk;Blend and serve","vegetarian",false,"Soup-style dinner"
R060,Tofu coconut noodles,dinner,Thai-inspired,"tofu;coconut_milk;noodles;spinach;capsicum","Cook noodles;Cook tofu vegetables and coconut milk;Combine","vegetarian",false,"Coconut noodle bowl"
R061,Chicken potato curry,dinner,Indian-inspired,"chicken_thigh;potato;rice;onion;garlic","Cook rice;Cook chicken thigh potato onion and garlic;Serve together","high-protein",false,"Indian-inspired home curry"
R062,Beef pumpkin curry,dinner,Indian-inspired,"beef_mince;pumpkin;rice;onion;garlic","Cook rice;Cook beef mince pumpkin onion and garlic;Serve together","high-protein",false,"Curry-style rice"
R063,Tofu spinach curry,dinner,Indian-inspired,"tofu;spinach;rice;onion;garlic","Cook rice;Cook tofu spinach onion and garlic;Serve together","vegetarian",false,"Plant-based curry"
R064,Egg potato curry,dinner,Indian-inspired,"egg;potato;rice;onion;garlic","Cook rice;Cook egg potato onion and garlic;Serve together","vegetarian",false,"Budget curry-style meal"
R065,Prawn rice curry,dinner,Indian-inspired,"prawn;rice;tomato;onion;garlic","Cook rice;Cook prawn with tomato onion and garlic;Serve together","high-protein",false,"Seafood curry-style meal"
R066,Chicken avocado salad,lunch,Mediterranean-inspired,"chicken_breast;avocado;lettuce;tomato;cucumber;olive_oil","Cook chicken;Prepare salad vegetables;Add avocado and olive oil","high-protein;low-calorie",false,"Fresh salad"
R067,Salmon cucumber salad,lunch,Mediterranean-inspired,"salmon;cucumber;lettuce;avocado;lemon","Cook salmon;Prepare salad;Serve with lemon","high-protein;low-calorie",false,"Light lunch"
R068,Tomato cucumber salad,side,Mediterranean-inspired,"tomato;cucumber;lettuce;olive_oil","Slice vegetables;Add olive oil;Serve cold","vegetarian;low-calorie",false,"Simple salad"
R069,Cheese tomato cucumber plate,snack,Mediterranean-inspired,"cheese;tomato;cucumber","Slice cheese tomato and cucumber;Serve cold","vegetarian",false,"Snack plate"
R070,Prawn lemon salad,lunch,Mediterranean-inspired,"prawn;lettuce;cucumber;tomato;lemon","Cook prawn;Prepare salad;Serve with lemon","high-protein;low-calorie",false,"Seafood salad"
R071,Chicken pumpkin rice,dinner,BBQ and roast,"chicken_thigh;pumpkin;rice;broccoli","Cook rice;Cook chicken thigh;Cook pumpkin and broccoli;Serve together","high-protein",false,"Roast-style plate"
R072,Salmon potato plate,dinner,BBQ and roast,"salmon;potato;broccoli;lemon","Cook salmon;Cook potato;Steam broccoli;Serve with lemon","high-protein",false,"Simple dinner"
R073,Beef potato skillet,dinner,BBQ and roast,"beef_mince;potato;onion;carrot","Cook potato;Cook beef mince with onion and carrot;Serve together","high-protein",false,"Simple dinner"
R074,Pork pumpkin plate,dinner,BBQ and roast,"pork;pumpkin;potato;spinach","Cook pork;Cook pumpkin and potato;Serve with spinach","high-protein",false,"Roast-style plate"
R075,Sausage veggie tray bake,dinner,BBQ and roast,"sausage;potato;pumpkin;onion;carrot","Cook sausage with vegetables;Serve warm","high-protein",false,"Australian tray bake"
R076,Roast vegetable side,side,BBQ and roast,"potato;pumpkin;carrot;onion;olive_oil","Prepare vegetables;Add olive oil;Roast or bake until cooked","vegetarian",false,"Roast side dish"
R077,Chicken corn tray bake,dinner,BBQ and roast,"chicken_thigh;corn;potato;carrot","Cook chicken thigh with corn potato and carrot;Serve warm","high-protein",false,"Tray bake"
R078,Pork sausage barbecue plate,dinner,BBQ and roast,"pork;sausage;potato;onion;tomato","Cook pork and sausage;Serve with potato onion and tomato","high-protein",false,"BBQ-style plate"
R079,Garlic zucchini side,side,BBQ and roast,"zucchini;garlic;olive_oil","Slice zucchini;Cook with garlic and olive oil","vegetarian;low-calorie",false,"Vegetable side"
R080,Corn capsicum side,side,BBQ and roast,"corn;capsicum;butter","Cook corn and capsicum;Add butter","vegetarian",false,"Vegetable side"
R081,Apple peanut snack,snack,Australian everyday,"apple;peanut_butter","Slice apple;Serve with peanut butter","vegetarian",false,"Simple snack"
R082,Orange grape yoghurt snack,snack,Australian everyday,"orange;grape;yoghurt","Prepare fruit;Serve with yoghurt","vegetarian;low-calorie",false,"Fruit snack"
R083,Carrot cucumber sticks,snack,Australian everyday,"carrot;cucumber;yoghurt","Slice carrot and cucumber;Serve with yoghurt","vegetarian;low-calorie",false,"Simple snack"
R084,Banana yoghurt snack,snack,Australian everyday,"banana;yoghurt;oats","Slice banana;Add yoghurt and oats","vegetarian",false,"Quick snack"
R085,Strawberry milk smoothie,snack,Australian everyday,"strawberry;milk;yoghurt","Blend strawberry milk and yoghurt","vegetarian",false,"Smoothie"
R086,Mango avocado salad,snack,Australian everyday,"mango;avocado;lettuce;cucumber;lemon","Slice ingredients;Combine and serve with lemon","vegetarian;low-calorie",false,"Fresh snack salad"
R087,Homemade flatbread,side,Australian everyday,"flour;milk;butter","Mix flour and milk;Cook flatbread;Serve with butter","vegetarian",false,"Covers flour"
R088,Garlic mushroom toast,side,Australian cafe,"mushroom;garlic;bread;butter","Cook mushroom with garlic and butter;Serve on toast","vegetarian",false,"Side or light meal"
R089,Zucchini corn fritter-style side,side,Australian cafe,"zucchini;corn;flour;egg","Mix zucchini corn flour and egg;Cook as fritter-style patties","vegetarian",false,"Australian-style fritter"
R090,Mushroom spinach side,side,Australian everyday,"mushroom;spinach;garlic;olive_oil","Cook mushroom and spinach with garlic and olive oil","vegetarian;low-calorie",false,"Vegetable side"
R091,Broccoli cheese bake,side,Australian everyday,"broccoli;cheese;milk;butter","Cook broccoli;Make cheese sauce with milk butter and cheese;Serve warm","vegetarian",false,"Vegetable bake"
R092,Apple grape yoghurt bowl,snack,Australian everyday,"apple;grape;yoghurt","Prepare fruit;Add yoghurt","vegetarian;low-calorie",false,"Fresh snack"
R093,Banana peanut yoghurt snack,snack,Australian everyday,"banana;peanut_butter;yoghurt","Slice banana;Add yoghurt and peanut butter","vegetarian",false,"Snack"
R094,Carrot capsicum sticks,snack,Australian everyday,"carrot;capsicum;yoghurt","Slice carrot and capsicum;Serve with yoghurt","vegetarian;low-calorie",false,"Vegetable snack"
R095,Cucumber tomato avocado snack,snack,Australian everyday,"cucumber;tomato;avocado;lemon","Slice vegetables;Add avocado and lemon","vegetarian;low-calorie",false,"Fresh snack"
R096,Cheese cucumber plate,snack,Australian everyday,"cheese;cucumber;tomato","Slice cheese cucumber and tomato;Serve cold","vegetarian",false,"Simple snack plate"
R097,Orange mango yoghurt snack,snack,Australian everyday,"orange;mango;yoghurt","Prepare fruit;Add yoghurt","vegetarian;low-calorie",false,"Fruit snack"
R098,Strawberry banana oats snack,snack,Australian everyday,"strawberry;banana;oats;yoghurt","Combine fruit oats and yoghurt","vegetarian",false,"Snack bowl"
R099,Apple orange fruit plate,snack,Australian everyday,"apple;orange;grape;strawberry","Prepare fruit;Serve together","vegetarian;low-calorie",false,"Fresh fruit plate"
R100,Tomato avocado toast,side,Australian cafe,"tomato;avocado;bread;lemon","Toast bread;Add tomato avocado and lemon","vegetarian;low-calorie",false,"Light cafe-style meal"
