recipe_id,recipe_name,ingredient_label,ausnut_public_food_key,ausnut_food_name
R010,Avocado salmon toast,avocado,F000162,"Avocado, raw"
R010,Avocado salmon toast,salmon,F007827,"Salmon, Atlantic, raw"
R010,Avocado salmon toast,bread,F001463,"Bread, white, commercial"
R010,Avocado salmon toast,lemon,F005174,"Lemon, peeled, raw"
R011,Egg tomato toast,egg,F003729,"Egg, chicken, whole, raw"
R011,Egg tomato toast,tomato,F009210,"Tomato, raw, not further defined"
R011,Egg tomato toast,bread,F001463,"Bread, white, commercial"
R011,Egg tomato toast,cheese,F002414,"Cheese, cheddar, natural, plain"
R012,Apple banana oats,apple,F000114,"Apple, unpeeled, raw, not further defined"
R012,Apple banana oats,banana,F000262,"Banana, cavendish, peeled, raw"
R012,Apple banana oats,oats,F006143,"Oats, rolled, uncooked"
R012,Apple banana oats,milk,F005634,"Milk, cow, fluid, regular fat (~3.5%)"
R013,Mushroom avocado toast,mushroom,F005946,"Mushroom, common, raw"
R013,Mushroom avocado toast,avocado,F000162,"Avocado, raw"
R013,Mushroom avocado toast,bread,F001463,"Bread, white, commercial"
R013,Mushroom avocado toast,garlic,F004193,"Garlic, peeled, raw"
R014,Peanut butter banana toast,peanut_butter,F006577,"Peanut butter, added sugar & salt"
R014,Peanut butter banana toast,banana,F000262,"Banana, cavendish, peeled, raw"
R014,Peanut butter banana toast,bread,F001463,"Bread, white, commercial"
R015,Spinach cheese egg toastie,spinach,F008749,"Spinach, baby, fresh, raw"
R015,Spinach cheese egg toastie,cheese,F002414,"Cheese, cheddar, natural, plain"
R015,Spinach cheese egg toastie,egg,F003729,"Egg, chicken, whole, raw"
R015,Spinach cheese egg toastie,bread,F001463,"Bread, white, commercial"
R015,Spinach cheese egg toastie,butter,F001973,"Butter, plain, salted"
R016,Chicken rice salad,chicken_breast,F002594,"Chicken, breast, lean, raw"
R016,Chicken rice salad,rice,F007682,"Rice, white, uncooked"
R016,Chicken rice salad,lettuce,F005194,"Lettuce, raw"
R016,Chicken rice salad,cucumber,F003323,"Cucumber, raw"
R016,Chicken rice salad,tomato,F009210,"Tomato, raw, not further defined"
R017,Salmon avocado rice bowl,salmon,F007827,"Salmon, Atlantic, raw"
R017,Salmon avocado rice bowl,avocado,F000162,"Avocado, raw"
R017,Salmon avocado rice bowl,rice,F007682,"Rice, white, uncooked"
R017,Salmon avocado rice bowl,cucumber,F003323,"Cucumber, raw"
R017,Salmon avocado rice bowl,lemon,F005174,"Lemon, peeled, raw"
R018,Chicken Caesar-style wrap,chicken_breast,F002594,"Chicken, breast, lean, raw"
R018,Chicken Caesar-style wrap,tortilla,F001418,"Bread, flat wrap or tortilla, commercial, not further defined"
R018,Chicken Caesar-style wrap,lettuce,F005194,"Lettuce, raw"
R018,Chicken Caesar-style wrap,cheese,F002414,"Cheese, cheddar, natural, plain"
R018,Chicken Caesar-style wrap,bacon,F000192,"Bacon, middle rasher, lean, raw"
R019,Vegetarian salad wrap,tortilla,F001418,"Bread, flat wrap or tortilla, commercial, not further defined"
R019,Vegetarian salad wrap,lettuce,F005194,"Lettuce, raw"
R019,Vegetarian salad wrap,tomato,F009210,"Tomato, raw, not further defined"
R019,Vegetarian salad wrap,cucumber,F003323,"Cucumber, raw"
R019,Vegetarian salad wrap,cheese,F002414,"Cheese, cheddar, natural, plain"
R019,Vegetarian salad wrap,avocado,F000162,"Avocado, raw"
R020,Beef mince rice bowl,beef_mince,F000655,"Beef, mince, >10% fat, raw"
R020,Beef mince rice bowl,rice,F007682,"Rice, white, uncooked"
R020,Beef mince rice bowl,carrot,F002276,"Carrot, raw"
R020,Beef mince rice bowl,corn,F003209,"Corn, raw"
R020,Beef mince rice bowl,soy_sauce,F008065,"Sauce, soy, commercial"
R021,Tofu veggie rice bowl,tofu,F009176,"Tofu (soy bean curd), firm, as purchased"
R021,Tofu veggie rice bowl,rice,F007682,"Rice, white, uncooked"
R021,Tofu veggie rice bowl,broccoli,F001905,"Broccoli, fresh or frozen, raw"
R021,Tofu veggie rice bowl,capsicum,F002234,"Capsicum, raw"
R021,Tofu veggie rice bowl,mushroom,F005946,"Mushroom, common, raw"
R022,Prawn avocado salad,prawn,F007433,"Prawn, king or medium, flesh, raw (green)"
R022,Prawn avocado salad,avocado,F000162,"Avocado, raw"
R022,Prawn avocado salad,lettuce,F005194,"Lettuce, raw"
R022,Prawn avocado salad,cucumber,F003323,"Cucumber, raw"
R022,Prawn avocado salad,lemon,F005174,"Lemon, peeled, raw"
R023,Chicken pasta salad,chicken_breast,F002594,"Chicken, breast, lean, raw"
R023,Chicken pasta salad,pasta,F006458,"Pasta, white, plain, dry, uncooked"
R023,Chicken pasta salad,cucumber,F003323,"Cucumber, raw"
R023,Chicken pasta salad,tomato,F009210,"Tomato, raw, not further defined"
R023,Chicken pasta salad,olive_oil,F006177,"Oil, olive"
R024,Egg salad sandwich,egg,F003729,"Egg, chicken, whole, raw"
R024,Egg salad sandwich,bread,F001463,"Bread, white, commercial"
R024,Egg salad sandwich,lettuce,F005194,"Lettuce, raw"
R024,Egg salad sandwich,butter,F001973,"Butter, plain, salted"
R025,Cheese tomato toastie,cheese,F002414,"Cheese, cheddar, natural, plain"
R025,Cheese tomato toastie,tomato,F009210,"Tomato, raw, not further defined"
R025,Cheese tomato toastie,bread,F001463,"Bread, white, commercial"
R025,Cheese tomato toastie,butter,F001973,"Butter, plain, salted"
R026,Chicken lettuce sandwich,chicken_breast,F002594,"Chicken, breast, lean, raw"
R026,Chicken lettuce sandwich,bread,F001463,"Bread, white, commercial"
R026,Chicken lettuce sandwich,lettuce,F005194,"Lettuce, raw"
R026,Chicken lettuce sandwich,tomato,F009210,"Tomato, raw, not further defined"
R026,Chicken lettuce sandwich,butter,F001973,"Butter, plain, salted"
R027,Beef tortilla wrap,beef_mince,F000655,"Beef, mince, >10% fat, raw"
R027,Beef tortilla wrap,tortilla,F001418,"Bread, flat wrap or tortilla, commercial, not further defined"
R027,Beef tortilla wrap,lettuce,F005194,"Lettuce, raw"
R027,Beef tortilla wrap,tomato,F009210,"Tomato, raw, not further defined"
R027,Beef tortilla wrap,cheese,F002414,"Cheese, cheddar, natural, plain"
R028,Avocado cucumber sandwich,avocado,F000162,"Avocado, raw"
R028,Avocado cucumber sandwich,cucumber,F003323,"Cucumber, raw"
R028,Avocado cucumber sandwich,bread,F001463,"Bread, white, commercial"
R028,Avocado cucumber sandwich,cheese,F002414,"Cheese, cheddar, natural, plain"
R029,Sausage salad wrap,sausage,F008112,"Sausage, beef, raw"
R029,Sausage salad wrap,tortilla,F001418,"Bread, flat wrap or tortilla, commercial, not further defined"
R029,Sausage salad wrap,lettuce,F005194,"Lettuce, raw"
R029,Sausage salad wrap,tomato,F009210,"Tomato, raw, not further defined"
R029,Sausage salad wrap,onion,F006225,"Onion, mature, brown skinned, peeled, raw"
R030,Prawn rice salad,prawn,F007433,"Prawn, king or medium, flesh, raw (green)"
R030,Prawn rice salad,rice,F007682,"Rice, white, uncooked"
R030,Prawn rice salad,cucumber,F003323,"Cucumber, raw"
R030,Prawn rice salad,carrot,F002276,"Carrot, raw"
R030,Prawn rice salad,lettuce,F005194,"Lettuce, raw"
R031,Tomato pasta,pasta,F006458,"Pasta, white, plain, dry, uncooked"
R031,Tomato pasta,tomato,F009210,"Tomato, raw, not further defined"
R031,Tomato pasta,garlic,F004193,"Garlic, peeled, raw"
R031,Tomato pasta,olive_oil,F006177,"Oil, olive"
R032,Beef pasta bake,beef_mince,F000655,"Beef, mince, >10% fat, raw"
R032,Beef pasta bake,pasta,F006458,"Pasta, white, plain, dry, uncooked"
R032,Beef pasta bake,pasta_sauce,F008050,"Sauce, pasta, tomato based, commercial"
R032,Beef pasta bake,cheese,F002414,"Cheese, cheddar, natural, plain"
R032,Beef pasta bake,onion,F006225,"Onion, mature, brown skinned, peeled, raw"
R033,Prawn tomato pasta,prawn,F007433,"Prawn, king or medium, flesh, raw (green)"
R033,Prawn tomato pasta,pasta,F006458,"Pasta, white, plain, dry, uncooked"
R033,Prawn tomato pasta,canned_tomatoes,F009222,"Tomato, whole, canned in tomato juice, undrained"
R033,Prawn tomato pasta,garlic,F004193,"Garlic, peeled, raw"
R033,Prawn tomato pasta,olive_oil,F006177,"Oil, olive"
R034,Chicken mushroom pasta,chicken_breast,F002594,"Chicken, breast, lean, raw"
R034,Chicken mushroom pasta,mushroom,F005946,"Mushroom, common, raw"
R034,Chicken mushroom pasta,pasta,F006458,"Pasta, white, plain, dry, uncooked"
R034,Chicken mushroom pasta,garlic,F004193,"Garlic, peeled, raw"
R034,Chicken mushroom pasta,olive_oil,F006177,"Oil, olive"
R035,Tofu tomato pasta,tofu,F009176,"Tofu (soy bean curd), firm, as purchased"
R035,Tofu tomato pasta,pasta,F006458,"Pasta, white, plain, dry, uncooked"
R035,Tofu tomato pasta,pasta_sauce,F008050,"Sauce, pasta, tomato based, commercial"
R035,Tofu tomato pasta,spinach,F008749,"Spinach, baby, fresh, raw"
R036,Broccoli cheese pasta,broccoli,F001905,"Broccoli, fresh or frozen, raw"
R036,Broccoli cheese pasta,cheese,F002414,"Cheese, cheddar, natural, plain"
R036,Broccoli cheese pasta,pasta,F006458,"Pasta, white, plain, dry, uncooked"
R036,Broccoli cheese pasta,milk,F005634,"Milk, cow, fluid, regular fat (~3.5%)"
R036,Broccoli cheese pasta,butter,F001973,"Butter, plain, salted"
R037,Chicken avocado pasta,chicken_breast,F002594,"Chicken, breast, lean, raw"
R037,Chicken avocado pasta,avocado,F000162,"Avocado, raw"
R037,Chicken avocado pasta,pasta,F006458,"Pasta, white, plain, dry, uncooked"
R037,Chicken avocado pasta,lemon,F005174,"Lemon, peeled, raw"
R037,Chicken avocado pasta,olive_oil,F006177,"Oil, olive"
R038,Pumpkin spinach pasta,pumpkin,F007555,"Pumpkin, peeled, raw"
R038,Pumpkin spinach pasta,spinach,F008749,"Spinach, baby, fresh, raw"
R038,Pumpkin spinach pasta,pasta,F006458,"Pasta, white, plain, dry, uncooked"
R038,Pumpkin spinach pasta,cheese,F002414,"Cheese, cheddar, natural, plain"
R039,Salmon zucchini pasta,salmon,F007827,"Salmon, Atlantic, raw"
R039,Salmon zucchini pasta,zucchini,F009775,"Zucchini, green skin, raw"
R039,Salmon zucchini pasta,pasta,F006458,"Pasta, white, plain, dry, uncooked"
R039,Salmon zucchini pasta,lemon,F005174,"Lemon, peeled, raw"
R039,Salmon zucchini pasta,olive_oil,F006177,"Oil, olive"
R040,Sausage tomato pasta,sausage,F008112,"Sausage, beef, raw"
R040,Sausage tomato pasta,pasta,F006458,"Pasta, white, plain, dry, uncooked"
R040,Sausage tomato pasta,pasta_sauce,F008050,"Sauce, pasta, tomato based, commercial"
R040,Sausage tomato pasta,onion,F006225,"Onion, mature, brown skinned, peeled, raw"
R040,Sausage tomato pasta,cheese,F002414,"Cheese, cheddar, natural, plain"
R041,Vegetable pasta bake,pasta,F006458,"Pasta, white, plain, dry, uncooked"
R041,Vegetable pasta bake,pasta_sauce,F008050,"Sauce, pasta, tomato based, commercial"
R041,Vegetable pasta bake,zucchini,F009775,"Zucchini, green skin, raw"
R041,Vegetable pasta bake,mushroom,F005946,"Mushroom, common, raw"
R041,Vegetable pasta bake,cheese,F002414,"Cheese, cheddar, natural, plain"
R042,Salmon tomato pasta,salmon,F007827,"Salmon, Atlantic, raw"
R042,Salmon tomato pasta,pasta,F006458,"Pasta, white, plain, dry, uncooked"
R042,Salmon tomato pasta,canned_tomatoes,F009222,"Tomato, whole, canned in tomato juice, undrained"
R042,Salmon tomato pasta,spinach,F008749,"Spinach, baby, fresh, raw"
R042,Salmon tomato pasta,garlic,F004193,"Garlic, peeled, raw"
R043,Chicken broccoli noodles,chicken_breast,F002594,"Chicken, breast, lean, raw"
R043,Chicken broccoli noodles,broccoli,F001905,"Broccoli, fresh or frozen, raw"
R043,Chicken broccoli noodles,noodles,F006068,"Noodle, wheat, instant, unflavoured, uncooked"
R043,Chicken broccoli noodles,soy_sauce,F008065,"Sauce, soy, commercial"
R044,Tofu peanut noodles,tofu,F009176,"Tofu (soy bean curd), firm, as purchased"
R044,Tofu peanut noodles,noodles,F006068,"Noodle, wheat, instant, unflavoured, uncooked"
R044,Tofu peanut noodles,peanut_butter,F006577,"Peanut butter, added sugar & salt"
R044,Tofu peanut noodles,soy_sauce,F008065,"Sauce, soy, commercial"
R044,Tofu peanut noodles,capsicum,F002234,"Capsicum, raw"
R045,Prawn noodles,prawn,F007433,"Prawn, king or medium, flesh, raw (green)"
R045,Prawn noodles,noodles,F006068,"Noodle, wheat, instant, unflavoured, uncooked"
R045,Prawn noodles,capsicum,F002234,"Capsicum, raw"
R045,Prawn noodles,garlic,F004193,"Garlic, peeled, raw"
R045,Prawn noodles,soy_sauce,F008065,"Sauce, soy, commercial"
R046,Chicken corn noodles,chicken_thigh,F002806,"Chicken, thigh, lean, raw"
R046,Chicken corn noodles,corn,F003209,"Corn, raw"
R046,Chicken corn noodles,noodles,F006068,"Noodle, wheat, instant, unflavoured, uncooked"
R046,Chicken corn noodles,soy_sauce,F008065,"Sauce, soy, commercial"
R046,Chicken corn noodles,garlic,F004193,"Garlic, peeled, raw"
R047,Egg fried rice,egg,F003729,"Egg, chicken, whole, raw"
R047,Egg fried rice,rice,F007682,"Rice, white, uncooked"
R047,Egg fried rice,carrot,F002276,"Carrot, raw"
R047,Egg fried rice,corn,F003209,"Corn, raw"
R047,Egg fried rice,soy_sauce,F008065,"Sauce, soy, commercial"
R048,Beef tomato rice,beef_mince,F000655,"Beef, mince, >10% fat, raw"
R048,Beef tomato rice,tomato,F009210,"Tomato, raw, not further defined"
R048,Beef tomato rice,rice,F007682,"Rice, white, uncooked"
R048,Beef tomato rice,onion,F006225,"Onion, mature, brown skinned, peeled, raw"
R048,Beef tomato rice,garlic,F004193,"Garlic, peeled, raw"
R049,Pork broccoli rice,pork,F007019,"Pork, chop, lean, raw"
R049,Pork broccoli rice,broccoli,F001905,"Broccoli, fresh or frozen, raw"
R049,Pork broccoli rice,rice,F007682,"Rice, white, uncooked"
R049,Pork broccoli rice,soy_sauce,F008065,"Sauce, soy, commercial"
R049,Pork broccoli rice,garlic,F004193,"Garlic, peeled, raw"
R050,Tofu canned tomato rice,tofu,F009176,"Tofu (soy bean curd), firm, as purchased"
R050,Tofu canned tomato rice,canned_tomatoes,F009222,"Tomato, whole, canned in tomato juice, undrained"
R050,Tofu canned tomato rice,rice,F007682,"Rice, white, uncooked"
R050,Tofu canned tomato rice,spinach,F008749,"Spinach, baby, fresh, raw"
R050,Tofu canned tomato rice,garlic,F004193,"Garlic, peeled, raw"
R051,Prawn tofu rice,prawn,F007433,"Prawn, king or medium, flesh, raw (green)"
R051,Prawn tofu rice,tofu,F009176,"Tofu (soy bean curd), firm, as purchased"
R051,Prawn tofu rice,rice,F007682,"Rice, white, uncooked"
R051,Prawn tofu rice,garlic,F004193,"Garlic, peeled, raw"
R051,Prawn tofu rice,soy_sauce,F008065,"Sauce, soy, commercial"
R052,Tofu capsicum noodles,tofu,F009176,"Tofu (soy bean curd), firm, as purchased"
R052,Tofu capsicum noodles,capsicum,F002234,"Capsicum, raw"
R052,Tofu capsicum noodles,noodles,F006068,"Noodle, wheat, instant, unflavoured, uncooked"
R052,Tofu capsicum noodles,garlic,F004193,"Garlic, peeled, raw"
R052,Tofu capsicum noodles,soy_sauce,F008065,"Sauce, soy, commercial"
R053,Egg tomato rice,egg,F003729,"Egg, chicken, whole, raw"
R053,Egg tomato rice,tomato,F009210,"Tomato, raw, not further defined"
R053,Egg tomato rice,rice,F007682,"Rice, white, uncooked"
R053,Egg tomato rice,garlic,F004193,"Garlic, peeled, raw"
R054,Chicken soy rice,chicken_thigh,F002806,"Chicken, thigh, lean, raw"
R054,Chicken soy rice,rice,F007682,"Rice, white, uncooked"
R054,Chicken soy rice,soy_sauce,F008065,"Sauce, soy, commercial"
R054,Chicken soy rice,garlic,F004193,"Garlic, peeled, raw"
R054,Chicken soy rice,broccoli,F001905,"Broccoli, fresh or frozen, raw"
R055,Chicken coconut pumpkin curry,chicken_thigh,F002806,"Chicken, thigh, lean, raw"
R055,Chicken coconut pumpkin curry,coconut_milk,F002991,"Coconut, milk, canned"
R055,Chicken coconut pumpkin curry,pumpkin,F007555,"Pumpkin, peeled, raw"
R055,Chicken coconut pumpkin curry,rice,F007682,"Rice, white, uncooked"
R055,Chicken coconut pumpkin curry,onion,F006225,"Onion, mature, brown skinned, peeled, raw"
R056,Tofu coconut curry rice,tofu,F009176,"Tofu (soy bean curd), firm, as purchased"
R056,Tofu coconut curry rice,coconut_milk,F002991,"Coconut, milk, canned"
R056,Tofu coconut curry rice,rice,F007682,"Rice, white, uncooked"
R056,Tofu coconut curry rice,pumpkin,F007555,"Pumpkin, peeled, raw"
R056,Tofu coconut curry rice,spinach,F008749,"Spinach, baby, fresh, raw"
R057,Prawn coconut rice,prawn,F007433,"Prawn, king or medium, flesh, raw (green)"
R057,Prawn coconut rice,coconut_milk,F002991,"Coconut, milk, canned"
R057,Prawn coconut rice,rice,F007682,"Rice, white, uncooked"
R057,Prawn coconut rice,capsicum,F002234,"Capsicum, raw"
R057,Prawn coconut rice,garlic,F004193,"Garlic, peeled, raw"
R058,Chicken coconut rice,chicken_thigh,F002806,"Chicken, thigh, lean, raw"
R058,Chicken coconut rice,coconut_milk,F002991,"Coconut, milk, canned"
R058,Chicken coconut rice,rice,F007682,"Rice, white, uncooked"
R058,Chicken coconut rice,capsicum,F002234,"Capsicum, raw"
R058,Chicken coconut rice,onion,F006225,"Onion, mature, brown skinned, peeled, raw"
R059,Coconut pumpkin soup,coconut_milk,F002991,"Coconut, milk, canned"
R059,Coconut pumpkin soup,pumpkin,F007555,"Pumpkin, peeled, raw"
R059,Coconut pumpkin soup,onion,F006225,"Onion, mature, brown skinned, peeled, raw"
R059,Coconut pumpkin soup,garlic,F004193,"Garlic, peeled, raw"
R060,Tofu coconut noodles,tofu,F009176,"Tofu (soy bean curd), firm, as purchased"
R060,Tofu coconut noodles,coconut_milk,F002991,"Coconut, milk, canned"
R060,Tofu coconut noodles,noodles,F006068,"Noodle, wheat, instant, unflavoured, uncooked"
R060,Tofu coconut noodles,spinach,F008749,"Spinach, baby, fresh, raw"
R060,Tofu coconut noodles,capsicum,F002234,"Capsicum, raw"
R061,Chicken potato curry,chicken_thigh,F002806,"Chicken, thigh, lean, raw"
R061,Chicken potato curry,potato,F007399,"Potato, unpeeled, raw"
R061,Chicken potato curry,rice,F007682,"Rice, white, uncooked"
R061,Chicken potato curry,onion,F006225,"Onion, mature, brown skinned, peeled, raw"
R061,Chicken potato curry,garlic,F004193,"Garlic, peeled, raw"
R062,Beef pumpkin curry,beef_mince,F000655,"Beef, mince, >10% fat, raw"
R062,Beef pumpkin curry,pumpkin,F007555,"Pumpkin, peeled, raw"
R062,Beef pumpkin curry,rice,F007682,"Rice, white, uncooked"
R062,Beef pumpkin curry,onion,F006225,"Onion, mature, brown skinned, peeled, raw"
R062,Beef pumpkin curry,garlic,F004193,"Garlic, peeled, raw"
R063,Tofu spinach curry,tofu,F009176,"Tofu (soy bean curd), firm, as purchased"
R063,Tofu spinach curry,spinach,F008749,"Spinach, baby, fresh, raw"
R063,Tofu spinach curry,rice,F007682,"Rice, white, uncooked"
R063,Tofu spinach curry,onion,F006225,"Onion, mature, brown skinned, peeled, raw"
R063,Tofu spinach curry,garlic,F004193,"Garlic, peeled, raw"
R064,Egg potato curry,egg,F003729,"Egg, chicken, whole, raw"
R064,Egg potato curry,potato,F007399,"Potato, unpeeled, raw"
R064,Egg potato curry,rice,F007682,"Rice, white, uncooked"
R064,Egg potato curry,onion,F006225,"Onion, mature, brown skinned, peeled, raw"
R064,Egg potato curry,garlic,F004193,"Garlic, peeled, raw"
R065,Prawn rice curry,prawn,F007433,"Prawn, king or medium, flesh, raw (green)"
R065,Prawn rice curry,rice,F007682,"Rice, white, uncooked"
R065,Prawn rice curry,tomato,F009210,"Tomato, raw, not further defined"
R065,Prawn rice curry,onion,F006225,"Onion, mature, brown skinned, peeled, raw"
R065,Prawn rice curry,garlic,F004193,"Garlic, peeled, raw"
R066,Chicken avocado salad,chicken_breast,F002594,"Chicken, breast, lean, raw"
R066,Chicken avocado salad,avocado,F000162,"Avocado, raw"
R066,Chicken avocado salad,lettuce,F005194,"Lettuce, raw"
R066,Chicken avocado salad,tomato,F009210,"Tomato, raw, not further defined"
R066,Chicken avocado salad,cucumber,F003323,"Cucumber, raw"
R066,Chicken avocado salad,olive_oil,F006177,"Oil, olive"
R067,Salmon cucumber salad,salmon,F007827,"Salmon, Atlantic, raw"
R067,Salmon cucumber salad,cucumber,F003323,"Cucumber, raw"
R067,Salmon cucumber salad,lettuce,F005194,"Lettuce, raw"
R067,Salmon cucumber salad,avocado,F000162,"Avocado, raw"
R067,Salmon cucumber salad,lemon,F005174,"Lemon, peeled, raw"
R068,Tomato cucumber salad,tomato,F009210,"Tomato, raw, not further defined"
R068,Tomato cucumber salad,cucumber,F003323,"Cucumber, raw"
R068,Tomato cucumber salad,lettuce,F005194,"Lettuce, raw"
R068,Tomato cucumber salad,olive_oil,F006177,"Oil, olive"
R069,Cheese tomato cucumber plate,cheese,F002414,"Cheese, cheddar, natural, plain"
R069,Cheese tomato cucumber plate,tomato,F009210,"Tomato, raw, not further defined"
R069,Cheese tomato cucumber plate,cucumber,F003323,"Cucumber, raw"
R070,Prawn lemon salad,prawn,F007433,"Prawn, king or medium, flesh, raw (green)"
R070,Prawn lemon salad,lettuce,F005194,"Lettuce, raw"
R070,Prawn lemon salad,cucumber,F003323,"Cucumber, raw"
R070,Prawn lemon salad,tomato,F009210,"Tomato, raw, not further defined"
R070,Prawn lemon salad,lemon,F005174,"Lemon, peeled, raw"
R071,Chicken pumpkin rice,chicken_thigh,F002806,"Chicken, thigh, lean, raw"
R071,Chicken pumpkin rice,pumpkin,F007555,"Pumpkin, peeled, raw"
R071,Chicken pumpkin rice,rice,F007682,"Rice, white, uncooked"
R071,Chicken pumpkin rice,broccoli,F001905,"Broccoli, fresh or frozen, raw"
R072,Salmon potato plate,salmon,F007827,"Salmon, Atlantic, raw"
R072,Salmon potato plate,potato,F007399,"Potato, unpeeled, raw"
R072,Salmon potato plate,broccoli,F001905,"Broccoli, fresh or frozen, raw"
R072,Salmon potato plate,lemon,F005174,"Lemon, peeled, raw"
R073,Beef potato skillet,beef_mince,F000655,"Beef, mince, >10% fat, raw"
R073,Beef potato skillet,potato,F007399,"Potato, unpeeled, raw"
R073,Beef potato skillet,onion,F006225,"Onion, mature, brown skinned, peeled, raw"
R073,Beef potato skillet,carrot,F002276,"Carrot, raw"
R074,Pork pumpkin plate,pork,F007019,"Pork, chop, lean, raw"
R074,Pork pumpkin plate,pumpkin,F007555,"Pumpkin, peeled, raw"
R074,Pork pumpkin plate,potato,F007399,"Potato, unpeeled, raw"
R074,Pork pumpkin plate,spinach,F008749,"Spinach, baby, fresh, raw"
R075,Sausage veggie tray bake,sausage,F008112,"Sausage, beef, raw"
R075,Sausage veggie tray bake,potato,F007399,"Potato, unpeeled, raw"
R075,Sausage veggie tray bake,pumpkin,F007555,"Pumpkin, peeled, raw"
R075,Sausage veggie tray bake,onion,F006225,"Onion, mature, brown skinned, peeled, raw"
R075,Sausage veggie tray bake,carrot,F002276,"Carrot, raw"
R076,Roast vegetable side,potato,F007399,"Potato, unpeeled, raw"
R076,Roast vegetable side,pumpkin,F007555,"Pumpkin, peeled, raw"
R076,Roast vegetable side,carrot,F002276,"Carrot, raw"
R076,Roast vegetable side,onion,F006225,"Onion, mature, brown skinned, peeled, raw"
R076,Roast vegetable side,olive_oil,F006177,"Oil, olive"
R077,Chicken corn tray bake,chicken_thigh,F002806,"Chicken, thigh, lean, raw"
R077,Chicken corn tray bake,corn,F003209,"Corn, raw"
R077,Chicken corn tray bake,potato,F007399,"Potato, unpeeled, raw"
R077,Chicken corn tray bake,carrot,F002276,"Carrot, raw"
R078,Pork sausage barbecue plate,pork,F007019,"Pork, chop, lean, raw"
R078,Pork sausage barbecue plate,sausage,F008112,"Sausage, beef, raw"
R078,Pork sausage barbecue plate,potato,F007399,"Potato, unpeeled, raw"
R078,Pork sausage barbecue plate,onion,F006225,"Onion, mature, brown skinned, peeled, raw"
R078,Pork sausage barbecue plate,tomato,F009210,"Tomato, raw, not further defined"
R079,Garlic zucchini side,zucchini,F009775,"Zucchini, green skin, raw"
R079,Garlic zucchini side,garlic,F004193,"Garlic, peeled, raw"
R079,Garlic zucchini side,olive_oil,F006177,"Oil, olive"
R080,Corn capsicum side,corn,F003209,"Corn, raw"
R080,Corn capsicum side,capsicum,F002234,"Capsicum, raw"
R080,Corn capsicum side,butter,F001973,"Butter, plain, salted"
R081,Apple peanut snack,apple,F000114,"Apple, unpeeled, raw, not further defined"
R081,Apple peanut snack,peanut_butter,F006577,"Peanut butter, added sugar & salt"
R082,Orange grape yoghurt snack,orange,F006277,"Orange, peeled, raw"
R082,Orange grape yoghurt snack,grape,F004258,"Grape, raw"
